SECID,TRADETIME,PRICE,QUANTITY
PTM9,19:43:48,830.1190,1
PTM9,19:52:41,835.4820,1
PTM9,20:15:59,835.0740,1
PTM9,20:15:59,777.6700,1
PTM9,20:55:50,862.2600,1
PTM9,10:10:03,837.8280,1
PTM9,11:46:54,807.2260,1
PTM9,16:21:33,833.7550,1
PTM9,17:07:39,820.8090,1
PTM9,17:30:55,829.3000,1
PTM9,17:34:32,788.3100,1
PTM9,17:44:54,825.4620,1
PTM9,17:49:09,855.4150,1
PTM9,17:50:17,871.5000,1
PTM9,17:52:04,822.1950,1
PTM9,17:52:04,863.3040,1
PTM9,17:52:39,865.2800,7
PTM9,17:53:04,848.6400,2
PTM9,17:56:30,798.7200,1
PTM9,18:02:06,807.0400,1
PTM9,18:02:07,832.0000,1
PTM9,11:02:50,822.1000,1
PTM9,11:02:50,781.6600,19
PTM9,11:57:39,798.5040,1
PTM9,11:57:39,791.3280,1
PTM9,11:57:39,800.0560,8
PTM9,11:58:10,783.2750,1
PTM9,11:58:10,783.5600,8
PTM9,13:47:14,816.7500,1
PTM9,13:55:29,783.7500,1
PTM9,13:55:29,800.2500,1
PTM9,13:55:29,833.2500,1
PTM9,13:55:29,866.2500,1
PTM9,13:57:40,825.0000,1
PTM9,14:05:04,825.0000,10
PTM9,14:20:48,813.3840,1
PTM9,14:20:48,846.1450,9
PTM9,14:20:49,789.7920,1
PTM9,15:14:56,835.1690,1
PTM9,15:14:56,794.4960,4
PTM9,16:15:31,828.9000,1
PTM9,16:15:31,837.5930,1
PTM9,16:15:31,796.1280,1
PTM9,16:15:31,862.5760,1
PTM9,16:37:11,815.2650,1
PTM9,16:37:11,790.0800,4
PTM9,19:29:26,798.8160,1
PTM9,19:29:31,813.4000,1
PTM9,20:40:17,874.6500,1
PTM9,20:41:10,816.3400,1
PTM9,21:47:59,847.2120,1
PTM9,22:47:23,795.4560,1
PTM9,10:03:41,812.2240,1
PTM9,10:57:59,822.6900,5
PTM9,11:16:41,824.6700,1
PTM9,11:21:13,808.0100,7
PTM9,12:13:22,825.6600,1
PTM9,12:16:55,875.7000,1
PTM9,12:17:12,850.9860,1
PTM9,13:18:31,793.2500,2
PTM9,13:29:21,826.6500,2
PTM9,14:43:38,862.5220,1
PTM9,14:48:25,862.6250,1
PTM9,15:33:15,801.1200,1
PTM9,16:01:40,794.1050,1
PTM9,16:02:36,852.6180,1
PTM9,16:02:43,877.6950,1
PTM9,16:12:59,827.5410,1
PTM9,16:21:07,876.7500,1
PTM9,16:21:30,860.0500,1
PTM9,16:21:59,818.3000,1
PTM9,16:22:21,835.0000,1
PTM9,16:22:33,801.6000,1
PTM9,17:13:22,869.3360,1
PTM9,17:13:22,869.3360,2
PTM9,17:13:22,802.5600,10
PTM9,17:23:04,869.4400,1
PTM9,17:25:36,836.5000,1
